	6AMay	3CJuly	6DMay	8CMay	8CJuly	6CMay	6AJuly	6DJuly	3AJuly	8BJuly	8BMay	3CMay	3BJuly	8AJuly	8AMay	3AMay	6CJuly	3BMay	0CJuly	0CMay	0AJuly	1DJuly	0BMay	1GMay	0BJuly	0AMay	1FJuly	1FMay	1DMay	1GJuly	taxonomy
denovo610	5.0	0.0	4.0	4.0	1.0	10.0	1.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	5.0	3.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	1.0	"k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__"
denovo245	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	20.0	0.0	0.0	4.0	5.0	7.0	12.0	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
denovo255	5.0	0.0	1.0	9.0	5.0	5.0	4.0	1.0	0.0	1.0	10.0	0.0	0.0	0.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae"
denovo441	3.0	0.0	6.0	4.0	4.0	10.0	4.0	2.0	0.0	1.0	2.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	0.0	1.0	2.0	1.0	4.0	"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__; g__; s__"
denovo414	4.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	12.0	4.0	0.0	0.0	0.0	2.0	6.0	1.0	6.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	4.0	1.0	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__"
denovo1121	0.0	2.0	0.0	0.0	6.0	2.0	0.0	0.0	4.0	2.0	3.0	8.0	1.0	0.0	1.0	0.0	0.0	5.0	1.0	5.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	3.0	5.0	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Azoarcus; s__"
denovo547	3.0	12.0	0.0	1.0	1.0	1.0	2.0	0.0	3.0	1.0	3.0	2.0	6.0	0.0	0.0	4.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__"
denovo954	2.0	1.0	1.0	5.0	7.0	1.0	3.0	0.0	3.0	3.0	1.0	4.0	2.0	3.0	5.0	3.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	"k__Bacteria; p__Gemmatimonadetes; c__Gemm-2; o__; f__; g__; s__"
denovo358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	17.0	1.0	0.0	10.0	0.0	2.0	16.0	1.0	1.0	0.0	3.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__[Chromatiaceae]; g__; s__"
denovo1948	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	6.0	3.0	2.0	0.0	0.0	8.0	2.0	5.0	4.0	2.0	9.0	5.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__"
denovo764	0.0	0.0	1.0	20.0	17.0	2.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__"
denovo323	0.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	5.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	21.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus"
denovo1262	5.0	5.0	4.0	12.0	3.0	2.0	0.0	1.0	0.0	2.0	4.0	3.0	0.0	3.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae"
denovo1119	1.0	2.0	2.0	3.0	0.0	2.0	1.0	2.0	1.0	1.0	5.0	1.0	1.0	0.0	6.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	5.0	2.0	6.0	5.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__"
denovo947	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	8.0	5.0	2.0	4.0	3.0	3.0	2.0	4.0	3.0	5.0	6.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
denovo511	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	8.0	1.0	1.0	0.0	1.0	1.0	8.0	0.0	0.0	2.0	0.0	18.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__"
denovo1243	7.0	1.0	9.0	9.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	1.0	3.0	1.0	3.0	1.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__; f__; g__; s__"
denovo653	5.0	0.0	5.0	5.0	1.0	6.0	1.0	2.0	0.0	2.0	5.0	0.0	1.0	8.0	5.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__JTB38; g__; s__"
denovo198	5.0	1.0	3.0	8.0	1.0	4.0	3.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	4.0	2.0	1.0	3.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
denovo845	3.0	0.0	3.0	9.0	8.0	2.0	3.0	0.0	0.0	2.0	5.0	2.0	0.0	2.0	9.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__Rhodothermaceae; g__; s__"
denovo261	1.0	0.0	2.0	2.0	4.0	3.0	3.0	0.0	1.0	2.0	5.0	2.0	0.0	5.0	10.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	1.0	2.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__; g__; s__"
denovo154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	31.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__"
denovo1080	0.0	1.0	0.0	6.0	0.0	0.0	2.0	0.0	1.0	0.0	8.0	3.0	1.0	0.0	12.0	0.0	0.0	2.0	4.0	2.0	5.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__"
denovo263	0.0	0.0	0.0	12.0	4.0	0.0	1.0	2.0	0.0	3.0	14.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	3.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__"
denovo250	4.0	2.0	8.0	9.0	5.0	2.0	4.0	1.0	0.0	1.0	6.0	1.0	0.0	0.0	2.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
denovo1814	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	1.0	0.0	0.0	6.0	0.0	5.0	6.0	4.0	1.0	1.0	2.0	5.0	2.0	0.0	0.0	1.0	3.0	1.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
denovo442	3.0	0.0	1.0	8.0	7.0	5.0	2.0	0.0	0.0	4.0	7.0	0.0	0.0	7.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__"
denovo457	9.0	1.0	5.0	1.0	4.0	1.0	2.0	1.0	0.0	1.0	10.0	6.0	2.0	4.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__JTB38; g__; s__"
denovo632	2.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	2.0	5.0	1.0	1.0	0.0	7.0	6.0	0.0	1.0	5.0	0.0	"k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__"
denovo343	2.0	1.0	4.0	3.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	4.0	6.0	5.0	1.0	1.0	0.0	3.0	5.0	0.0	0.0	2.0	0.0	"k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__Rhodothermaceae; g__; s__"
denovo332	5.0	0.0	0.0	2.0	2.0	6.0	8.0	5.0	0.0	7.0	14.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__"
denovo337	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	17.0	4.0	1.0	2.0	2.0	0.0	11.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__"
denovo1210	6.0	0.0	6.0	4.0	2.0	9.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	6.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__"
denovo649	1.0	0.0	0.0	2.0	2.0	1.0	6.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	3.0	0.0	3.0	4.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	7.0	5.0	2.0	5.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Demequina; s__"
denovo1231	1.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	4.0	1.0	4.0	1.0	6.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	1.0	6.0	1.0	1.0	0.0	2.0	8.0	1.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__"
denovo470	1.0	10.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	2.0	5.0	8.0	2.0	2.0	2.0	2.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__"
denovo371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	10.0	4.0	1.0	1.0	2.0	2.0	12.0	0.0	0.0	5.0	0.0	"k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Nitriliruptorales; f__Nitriliruptoraceae; g__; s__"
denovo645	5.0	0.0	2.0	2.0	2.0	8.0	1.0	2.0	0.0	1.0	4.0	1.0	2.0	1.0	0.0	5.0	1.0	4.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	3.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__"
denovo349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	27.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Spirochaetes; c__[Leptospirae]; o__[Leptospirales]; f__Leptospiraceae; g__Leptospira; s__"
denovo222	4.0	0.0	0.0	17.0	7.0	0.0	12.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__"
denovo280	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	6.0	3.0	1.0	3.0	4.0	3.0	2.0	3.0	2.0	3.0	5.0	"k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__"
denovo330	0.0	3.0	1.0	2.0	3.0	0.0	5.0	0.0	1.0	5.0	5.0	2.0	6.0	0.0	4.0	4.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__JTB38; g__; s__"
denovo403	6.0	0.0	4.0	1.0	1.0	5.0	12.0	2.0	1.0	1.0	4.0	0.0	0.0	1.0	3.0	3.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__"
denovo444	1.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	3.0	5.0	2.0	2.0	0.0	3.0	0.0	13.0	3.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__; g__; s__"
denovo321	4.0	2.0	5.0	1.0	1.0	14.0	0.0	0.0	3.0	0.0	0.0	5.0	4.0	0.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae"
denovo555	1.0	2.0	1.0	5.0	10.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	1.0	5.0	9.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__; s__"
denovo864	2.0	6.0	0.0	3.0	7.0	0.0	3.0	0.0	2.0	4.0	3.0	2.0	3.0	0.0	2.0	0.0	1.0	3.0	1.0	3.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Planctomycetes; c__OM190; o__agg27; f__; g__; s__"
denovo837	3.0	0.0	6.0	2.0	7.0	6.0	1.0	3.0	0.0	0.0	14.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	"k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__"
denovo564	1.0	4.0	0.0	1.0	2.0	2.0	1.0	1.0	3.0	0.0	0.0	2.0	6.0	0.0	0.0	6.0	0.0	19.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__"
denovo407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	14.0	0.0	3.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__"
denovo1551	3.0	1.0	1.0	5.0	4.0	1.0	14.0	0.0	0.0	6.0	4.0	1.0	0.0	0.0	2.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__"
denovo315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	16.0	8.0	0.0	5.0	2.0	3.0	1.0	2.0	0.0	1.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__"
denovo314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	8.0	15.0	0.0	3.0	0.0	12.0	1.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
denovo584	3.0	2.0	4.0	3.0	3.0	2.0	0.0	1.0	2.0	5.0	2.0	2.0	2.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	"k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__"
denovo574	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	10.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	15.0	0.0	0.0	0.0	7.0	6.0	0.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
denovo2026	3.0	3.0	1.0	1.0	11.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	4.0	3.0	0.0	0.0	0.0	2.0	1.0	7.0	1.0	0.0	0.0	3.0	1.0	0.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__"
denovo579	2.0	0.0	3.0	1.0	0.0	6.0	2.0	1.0	0.0	3.0	1.0	0.0	5.0	1.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	2.0	4.0	2.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae"
denovo727	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	3.0	7.0	0.0	0.0	1.0	9.0	9.0	0.0	3.0	1.0	1.0	"k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__KD8-87; f__; g__; s__"
denovo663	1.0	3.0	1.0	2.0	0.0	0.0	3.0	1.0	2.0	2.0	5.0	3.0	3.0	4.0	8.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
denovo286	7.0	1.0	2.0	2.0	0.0	5.0	4.0	2.0	0.0	0.0	2.0	3.0	0.0	3.0	5.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__NB1-i; g__; s__"
denovo384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	12.0	0.0	0.0	0.0	19.0	6.0	0.0	0.0	1.0	0.0	"k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__"
denovo481	3.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	4.0	1.0	0.0	3.0	2.0	3.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	4.0	12.0	0.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__"
denovo659	0.0	4.0	0.0	1.0	2.0	1.0	4.0	1.0	3.0	0.0	1.0	3.0	4.0	1.0	3.0	4.0	0.0	13.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
denovo738	0.0	6.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	2.0	0.0	3.0	1.0	3.0	6.0	0.0	1.0	12.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__"
denovo331	11.0	0.0	6.0	1.0	0.0	9.0	1.0	2.0	1.0	0.0	0.0	4.0	5.0	0.0	0.0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__"
denovo783	0.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	3.0	2.0	3.0	2.0	0.0	12.0	2.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	6.0	1.0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfococcus; s__"
denovo520	1.0	0.0	11.0	1.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	3.0	2.0	1.0	1.0	0.0	3.0	6.0	1.0	"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__"
denovo1631	2.0	0.0	5.0	1.0	9.0	1.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	4.0	12.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__"
denovo744	3.0	1.0	6.0	0.0	3.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	2.0	4.0	1.0	0.0	3.0	2.0	3.0	0.0	2.0	0.0	2.0	3.0	0.0	4.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
denovo465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	0.0	14.0	0.0	0.0	16.0	1.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__[Chromatiaceae]; g__Rheinheimera; s__"
denovo1822	5.0	0.0	1.0	1.0	2.0	2.0	4.0	0.0	0.0	2.0	2.0	1.0	0.0	2.0	4.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	6.0	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Demequina; s__"
denovo229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	2.0	20.0	0.0	3.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__"
denovo537	4.0	2.0	7.0	2.0	6.0	1.0	3.0	0.0	2.0	0.0	3.0	1.0	2.0	2.0	1.0	1.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
denovo412	2.0	0.0	1.0	2.0	8.0	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__"
denovo668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	8.0	0.0	5.0	0.0	4.0	14.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales"
